cityName,country,lat,lng,temp,humidity,cloudiness,winds
lazaro cardenas,mx,28.39,-105.62,49.38,95,48,2.73
new norfolk,au,-42.78,147.06,84.2,16,20,16.11
tulle,fr,45.27,1.77,26.6,79,0,10.29
meulaboh,id,4.14,96.13,83.13,100,76,4.18
sitka,us,37.17,-99.65,41.1,63,36,13.69
gat,ly,14.69,-16.54,64.4,88,68,13.87
taraz,kz,42.89,71.39,28.4,92,90,2.39
hobyo,so,5.35,48.53,79.44,74,0,21.18
klaksvik,fo,62.23,-6.59,42.8,93,64,6.93
jamestown,sh,-33.21,138.6,88.22,61,0,3.74
sambava,mg,-14.27,50.17,78.77,100,76,2.51
hithadhoo,mv,-0.6,73.08,81.42,100,88,1.95
kupang,id,-10.16,123.6,91.4,66,40,9.17
rikitea,pf,-23.12,-134.97,77.01,100,100,17.83
inyonga,tz,-6.72,32.06,64.05,98,76,3.96
busselton,au,-33.64,115.35,71.12,91,0,9.44
yellowknife,ca,62.45,-114.38,-7.61,76,90,12.75
qaanaaq,gl,77.48,-69.36,-17.72,100,32,8.66
dzheguta,ru,43.97,42.04,14.91,56,0,3.4
bredasdorp,za,-34.53,20.04,66.2,63,0,3.36
ha tinh,vn,18.33,105.9,69.05,100,24,10.11
udayagiri,in,12.32,76.68,79.4,45,0,5.75
tura,ru,25.52,90.21,69.54,66,0,5.97
leningradskiy,ru,69.38,178.42,-3.36,91,8,23.98
guerrero negro,mx,27.97,-114.04,47.94,100,0,4.74
naze,jp,5.43,7.07,71.6,88,0,6.53
tiksi,ru,71.64,128.87,-30.99,51,68,4.18
castro,cl,-42.48,-73.76,42.8,100,44,3.06
gamba,ga,28.28,88.52,17.88,79,0,5.75
hermanus,za,-34.42,19.24,60.54,79,8,5.19
petropavlovsk-kamchatskiy,ru,53.05,158.65,21.2,67,75,15.66
vostok,ru,46.45,135.83,5.01,57,0,2.95
ostrovnoy,ru,68.05,39.51,18.42,84,12,27.34
ilulissat,gl,69.22,-51.1,-9.41,47,0,3.36
kamaishi,jp,39.28,141.86,37.4,47,75,11.41
henderson,us,36.04,-114.98,48.74,66,75,2.51
bluff,nz,-23.58,149.07,82.19,66,64,10.67
ushuaia,ar,-54.81,-68.31,57.2,47,40,18.34
lalmohan,bd,22.34,90.74,75.35,56,0,9.78
atuona,pf,-9.8,-139.03,81.51,99,36,17.27
east london,za,-33.02,27.91,68.0,82,40,1.12
tazovskiy,ru,67.47,78.7,-28.47,46,32,5.41
agua verde,mx,22.89,-105.97,68.0,100,5,10.78
lompoc,us,34.64,-120.46,52.11,92,90,4.7
camacupa,ao,-12.02,17.48,66.21,88,64,5.75
petropavlovka,ru,50.61,105.32,6.54,65,12,1.72
colares,pt,38.8,-9.45,43.5,56,0,12.75
kudahuvadhoo,mv,2.67,72.89,79.35,100,76,8.55
lipin bor,ru,60.26,37.97,11.27,89,64,17.94
chilakalurupet,in,16.09,80.17,80.7,73,0,5.19
airai,pw,-8.93,125.41,78.5,86,56,1.28
cape town,za,-33.93,18.42,64.4,77,40,14.99
bud,no,62.91,6.91,38.01,69,75,23.04
teguise,es,29.06,-13.56,59.0,62,24,4.7
albany,au,42.65,-73.75,20.7,59,90,18.34
hobart,au,-42.88,147.33,84.2,16,20,16.11
