cityName,country,lat,lng,temp,humidity,cloudiness,winds
hoyanger,no,61.22,6.07,44.6,75,88,17.22
barrow,us,-38.31,-60.23,54.74,75,0,2.59
tiksi,ru,71.64,128.87,-34.14,61,76,3.38
severo-kurilsk,ru,50.68,156.12,13.52,100,0,2.15
busselton,au,-33.64,115.35,64.19,100,0,5.84
kieta,pg,-6.22,155.63,84.04,91,12,5.17
touros,br,-5.2,-35.46,78.8,83,20,8.05
bredasdorp,za,-34.53,20.04,55.4,76,0,1.12
constitucion,mx,23.99,-104.67,64.4,27,20,14.99
nikolskoye,ru,59.7,30.79,23.0,85,90,6.71
kodiak,us,39.95,-94.76,32.79,61,90,8.05
richards bay,za,-28.77,32.06,74.41,84,48,10.65
port alfred,za,-33.59,26.89,67.03,92,48,9.53
ayan,ru,40.67,33.6,30.53,95,88,5.73
dikson,ru,73.51,80.55,-18.66,100,24,6.29
caravelas,br,-17.73,-39.27,79.85,100,68,10.2
butaritari,ki,3.07,172.79,85.34,99,56,9.31
dhidhdhoo,mv,6.88,73.1,81.2,100,0,7.4
viking,ca,53.1,-111.78,3.76,76,48,3.49
campbellton,ca,48.0,-66.68,22.84,79,92,10.42
xining,cn,36.62,101.77,14.24,29,0,3.15
phangnga,th,8.45,98.53,78.71,74,20,4.7
tommot,ru,58.97,126.27,8.66,74,80,3.94
nelson bay,au,-32.72,152.14,77.0,78,20,11.41
neryungri,ru,56.66,124.71,-5.92,64,64,3.6
saskylakh,ru,71.97,114.09,-43.18,0,56,3.15
paamiut,gl,61.99,-49.67,27.79,100,0,4.5
jalu,ly,29.03,21.55,34.4,63,0,2.93
nanortalik,gl,60.14,-45.24,30.89,86,76,13.67
fiche,et,9.77,38.74,26.66,67,0,2.71
kavieng,pg,-2.57,150.8,85.84,96,48,8.86
pevek,ru,69.7,170.27,6.82,72,8,22.73
rahon,in,46.99,5.46,29.23,80,0,11.41
ous,ru,60.91,61.52,-16.81,74,48,2.59
faanui,pf,-16.48,-151.75,84.17,100,92,16.58
talnakh,ru,69.49,88.39,-29.55,47,44,3.71
mahebourg,mu,-20.41,57.7,77.0,88,75,16.11
talcahuano,cl,-36.72,-73.12,60.8,63,0,10.29
yerbogachen,ru,61.28,108.01,-1.33,55,0,7.63
marsh harbour,bs,26.54,-77.06,70.81,100,68,13.44
sungai udang,my,5.16,100.43,81.48,69,75,4.7
oktyabrskiy,ru,55.61,37.97,9.61,92,75,3.38
port blair,in,11.67,92.75,81.47,100,64,13.89
ixtapa,mx,20.71,-105.21,78.8,83,75,6.93
rikitea,pf,-23.12,-134.97,80.26,99,36,13.22
khatanga,ru,71.98,102.47,-42.06,0,0,4.83
kyaikto,mm,17.31,97.01,77.51,88,8,3.04
airai,pw,-8.93,125.41,77.2,85,12,1.36
avarua,ck,-21.21,-159.78,82.4,65,75,18.34
hay river,ca,60.82,-115.79,-5.81,76,90,8.05
castro,cl,-42.48,-73.76,51.8,71,0,4.7
hilo,us,19.71,-155.08,78.98,60,1,11.41
atuona,pf,-9.8,-139.03,81.52,100,24,16.46
chuy,uy,-33.69,-53.46,67.3,100,92,4.72
bluff,nz,-23.58,149.07,77.65,84,88,9.64
codrington,ag,-28.95,153.24,85.98,42,68,12.75
puerto ayora,ec,-0.74,-90.35,78.8,65,20,12.75
tonk,in,26.16,75.79,49.34,81,0,3.04
santiago,co,-33.44,-70.65,70.25,45,0,8.05
panvel,in,18.99,73.11,71.6,56,0,3.36
longyearbyen,sj,78.22,15.63,17.6,72,90,31.09
berlevag,no,70.86,29.09,31.7,100,36,12.1
mount isa,au,-20.73,139.49,95.0,34,0,10.29
foumban,cm,5.73,10.9,53.71,68,0,1.7
miri,my,10.31,9.75,54.65,61,0,3.6
clinton,us,30.87,-91.02,44.78,45,1,3.36
cape town,za,-33.93,18.42,62.6,82,40,6.93
lorengau,pg,-2.02,147.27,85.21,94,0,8.41
hobart,au,-42.88,147.33,73.4,38,20,6.93
albany,au,42.65,-73.75,21.81,59,90,19.46
yellowknife,ca,62.45,-114.38,-9.41,76,90,17.22
husavik,is,50.56,-96.99,11.54,88,88,7.74
new norfolk,au,-42.78,147.06,73.4,38,20,6.93
sao filipe,cv,14.9,-24.5,72.92,95,32,15.57
popondetta,pg,-8.77,148.24,74.99,97,56,1.59
myitkyina,mm,25.38,97.4,59.38,82,0,2.93
gayny,ru,60.3,54.33,12.8,83,64,6.73
ushuaia,ar,-54.81,-68.31,57.2,47,40,18.34
karlshamn,se,56.17,14.86,34.77,97,88,8.05
martapura,id,-3.41,114.85,84.71,86,36,3.6
kavalerovo,ru,44.27,135.06,12.35,58,0,7.4
egvekinot,ru,66.32,-179.17,-32.83,0,0,2.82
tigil,ru,57.8,158.67,5.56,74,44,2.93
mehamn,no,71.03,27.85,27.74,83,12,15.46
