Categoria,Rama,Anio,Demanda,Precio_gas_natural,Precio_combustoleo,PIB,Factores_eficiencia,Estudio
Industria Alimentaria,Alimentos,2005,89.1,7.1,6.8,430,2.45,Gas natural 1.0
Industria Alimentaria,Alimentos,2006,92.3,6.5,8.7,437,2.2,Gas natural 1.0
Industria Alimentaria,Alimentos,2007,95.9,6.4,9.7,447,2.16,Gas natural 1.0
Industria Alimentaria,Alimentos,2008,96,8.5,13,451,2.13,Gas natural 1.0
Industria Alimentaria,Alimentos,2009,102.9,3.8,10.4,450,1.9,Gas natural 1.0
Industria Alimentaria,Alimentos,2010,111.5,4.5,13.4,458,,Gas natural 1.0
Industria Alimentaria,Alimentos,2011,122.8,4.3,17.9,463,,Gas natural 1.0
Industria Alimentaria,Alimentos,2012,132.6,3.2,18.3,480,,Gas natural 1.0
Industria Alimentaria,Alimentos,2013,125.7,4.5,16.9,484,,Gas natural 1.0
Industria Alimentaria,Alimentos,2014,132,5.3,16.9,487,,Gas natural 1.0
Industria Alimentaria,Alimentos,2015,130,5,17.4,495,,Gas natural 1.0
Industria Alimentaria,Alimentos,2016,134.9,5.3,17.2,502,,Gas natural 1.0
Industria Alimentaria,Alimentos,2017,147,5.8,17.1,512,,Gas natural 1.0
Industria Alimentaria,Alimentos,2018,155.4,6.4,16.8,526,,Gas natural 1.0
Industria Alimentaria,Alimentos,2019,157.5,6.6,16.6,540,,Gas natural 1.0
Industria Alimentaria,Alimentos,2020,159.5,6.7,16.4,554,,Gas natural 1.0
Industria Alimentaria,Alimentos,2021,161.2,6.7,16.6,568,,Gas natural 1.0
Industria Alimentaria,Alimentos,2022,162.8,6.7,17,584,,Gas natural 1.0
Industria Alimentaria,Alimentos,2023,163.7,6.8,17.3,598,,Gas natural 1.0
Industria Alimentaria,Alimentos,2024,163.8,7,17.6,611,,Gas natural 1.0
Industria Alimentaria,Alimentos,2025,164.1,7.2,17.8,625,,Gas natural 1.0
Industria Alimentaria,Alimentos,2026,164.1,7.3,18,640,,Gas natural 1.0
Industria Alimentaria,Alimentos,2027,163.9,7.4,17.9,656,,Gas natural 1.0
Industria Alimentaria,Alimentos,2028,163.4,7.6,17.9,671,,Gas natural 1.0
Industria Alimentaria,Alimentos,2029,162.5,7.7,17.9,686,,Gas natural 1.0
Industria Alimentaria,Alimentos,2030,161.1,7.7,17.9,701,,Gas natural 1.0
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2005,52.3,7.1,6.8,37,11.29,Gas natural 1.0
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2006,63.8,6.5,8.7,39,10.41,Gas natural 1.0
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2007,65.2,6.4,9.7,40,10.72,Gas natural 1.0
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2008,69.9,8.5,13,41,10.19,Gas natural 1.0
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2009,62.9,3.8,10.4,40,10.4,Gas natural 1.0
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2010,63.8,4.5,13.4,42,,Gas natural 1.0
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2011,63.6,4.3,17.9,42,,Gas natural 1.0
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2012,76.8,3.2,18.3,44,,Gas natural 1.0
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2013,83.8,4.5,16.9,45,,Gas natural 1.0
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2014,81.4,5.3,16.9,46,,Gas natural 1.0
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2015,90.1,5,17.4,47,,Gas natural 1.0
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2016,90.7,5.3,17.2,49,,Gas natural 1.0
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2017,93.4,5.8,17.1,50,,Gas natural 1.0
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2018,94.5,6.4,16.8,51,,Gas natural 1.0
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2019,94.4,6.6,16.6,52,,Gas natural 1.0
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2020,94.4,6.7,16.4,53,,Gas natural 1.0
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2021,94.1,6.7,16.6,53,,Gas natural 1.0
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2022,93.7,6.7,17,54,,Gas natural 1.0
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2023,93,6.8,17.3,55,,Gas natural 1.0
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2024,92,7,17.6,56,,Gas natural 1.0
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2025,90.9,7.2,17.8,57,,Gas natural 1.0
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2026,89.9,7.3,18,58,,Gas natural 1.0
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2027,88.7,7.4,17.9,58,,Gas natural 1.0
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2028,87.3,7.6,17.9,59,,Gas natural 1.0
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2029,85.8,7.7,17.9,60,,Gas natural 1.0
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2030,84.2,7.7,17.9,61,,Gas natural 1.0
Productos a base de minerales no metálicos,Cemento y vidrio,2005,108,7.1,6.8,109,,Gas natural 1.0
Productos a base de minerales no metálicos,Cemento y vidrio,2006,123.8,6.5,8.7,116,,Gas natural 1.0
Productos a base de minerales no metálicos,Cemento y vidrio,2007,121.8,6.4,9.7,118,,Gas natural 1.0
Productos a base de minerales no metálicos,Cemento y vidrio,2008,125.3,8.5,13,114,,Gas natural 1.0
Productos a base de minerales no metálicos,Cemento y vidrio,2009,115.6,3.8,10.4,103,,Gas natural 1.0
Productos a base de minerales no metálicos,Cemento y vidrio,2010,114.6,4.5,13.4,108,,Gas natural 1.0
Productos a base de minerales no metálicos,Cemento y vidrio,2011,121.1,4.3,17.9,111,,Gas natural 1.0
Productos a base de minerales no metálicos,Cemento y vidrio,2012,137.8,3.2,18.3,114,,Gas natural 1.0
Productos a base de minerales no metálicos,Cemento y vidrio,2013,135.9,4.5,16.9,111,,Gas natural 1.0
Productos a base de minerales no metálicos,Cemento y vidrio,2014,149.4,5.3,16.9,114,,Gas natural 1.0
Productos a base de minerales no metálicos,Cemento y vidrio,2015,145.7,5,17.4,120,,Gas natural 1.0
Productos a base de minerales no metálicos,Cemento y vidrio,2016,147.7,5.3,17.2,123,,Gas natural 1.0
Productos a base de minerales no metálicos,Cemento y vidrio,2017,150.4,5.8,17.1,126,,Gas natural 1.0
Productos a base de minerales no metálicos,Cemento y vidrio,2018,157.4,6.4,16.8,131,,Gas natural 1.0
Productos a base de minerales no metálicos,Cemento y vidrio,2019,158.8,6.6,16.6,135,,Gas natural 1.0
Productos a base de minerales no metálicos,Cemento y vidrio,2020,160.3,6.7,16.4,139,,Gas natural 1.0
Productos a base de minerales no metálicos,Cemento y vidrio,2021,161.5,6.7,16.6,143,,Gas natural 1.0
Productos a base de minerales no metálicos,Cemento y vidrio,2022,162.6,6.7,17,148,,Gas natural 1.0
Productos a base de minerales no metálicos,Cemento y vidrio,2023,163.4,6.8,17.3,152,,Gas natural 1.0
Productos a base de minerales no metálicos,Cemento y vidrio,2024,163.2,7,17.6,156,,Gas natural 1.0
Productos a base de minerales no metálicos,Cemento y vidrio,2025,163.1,7.2,17.8,161,,Gas natural 1.0
