Empleador,Data Analyst,Data Engineer,Data scientist
Accenture,13,1,0
"Amazon Web Services, Inc.",0,6,17
"Amazon.com Services, Inc.",9,37,43
BOEING,16,32,51
CACI,17,4,5
"Catapult Consultants, LLC",4,7,3
CDK Global,3,1,18
Cisco Careers,4,11,9
Comcast,2,6,8
Emergent Holdings,15,1,6
General Electric,2,9,6
Glu Mobile,4,3,8
IBM,3,8,9
Intel,2,15,10
Johnson & Johnson Family of Companies,0,0,32
Leidos,7,8,24
Microsoft,0,13,18
Northrop Grumman,3,8,4
Publicis.Sapient,0,9,8
The Aerospace Corporation,2,4,8
Thermo Fisher Scientific,3,3,8
T-Mobile,5,9,6
UNC-Chapel Hill,3,0,13
UnitedHealth Group,21,1,12
Verizon,4,8,4
